#;Трекер;Статус;Тема;Назначена;Обновлено;Оценка трудозатрат;Этап
2846;Bug;Closed;Неверное заполнение клоков в сетке при выделении нескольких ячеек;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 13:59;4.;2.16.2.2
25047;Bug;Closed;Лимит имени файла, ассоциированного с элементом МБД;Alexey Golovnya	(Tract);25.07.2017 14:01;8.;2.16.2.2
25162;Bug;Closed;Пропуск собственных элементов системой автозаполнения пауз;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:01;2.;2.16.2.2
25295;Bug;Closed;Неверно пишется значение DeltaTimeMin в лог редактирования расписания;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;2.;2.16.2.2
25497;Bug;Closed;Выход за границу буфера при регулировке уровня элемента;Alexey  Khakhanov	(Tract);25.07.2017 14:01;4.;2.16.2.2
25575;Bug;Closed;Слеш в конце пути к расписанию приводит к ошибкам;Alexey Golovnya	(Tract);25.07.2017 14:01;4.;2.16.2.2
25593;Bug;Closed;Inserter. Пропуск блока при близком расположении блоков в сетке.;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;4.;2.16.2.2
26051;Bug;Closed;Не работает счетчик распознанных меток;Tatiana Zharkova	(Digispot System GmbH);23.07.2017 16:34;8.;2.16.2.7
26064;Bug;Closed;X-Player не переходит на ретрансляцию при определенных свойствах блока;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;8.;2.16.2.7
26150;Bug;Closed;СД-Граббер. Падение при незаданном устройстве воспроизведения.;Aleksey Komarov	(Tract);25.07.2017 14:01;2.;2.16.2.7
22737;Bug;Closed;В настройках коммутатора должны быть настроены метки, чтобы включить детектирование меток, прописаных в блоке;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:00;2.;2.16.2.8
26310;Bug;Closed;DDB Прокачка элементов в порядке их следования в расписании;Tatiana Zharkova	(Digispot System GmbH);27.07.2017 13:30;6.;2.16.2.8
19780;Bug;Closed;"В режиме LIVE X-плеера игнорируются настройки режима работы кнопки ""Commercial blocks non-stop""";Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:00;4.;2.16.2.9
25489;Bug;Closed;Английский текст в русском Мастере настройки;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;2.;2.16.2.9
26381;Bug;Closed;Пользователи без прав на удаление элементов МБД не могут отправить элемент в архив.;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;16.;2.16.2.9
26390;Bug;Closed;"""Контроль выходов"" в медиапланере не учитывает последний день в указанном диапазоне.";Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:01;1.;2.16.2.9
26563;Bug;Closed;D2 matrix. Не сохраняется масштабирование индикаторов.;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;4.;2.16.2.9
26564;Bug;Closed;D2 matrix. Сбрасываются настройки расположения индикаторов.;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;4.;2.16.2.9
26832;Bug;Closed;Создание отключенного администратора;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;2.;2.16.2.9
17030;Bug;Closed;Внесение изменений в расписание в ходе генерации расписания МАГом (Экстендером) может привести к падению приложения;Testers;23.07.2017 16:31;4.;2.16.2.11
25457;Bug;Closed;Затруднен ввод значения скидки в окне Медиаплана;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:01;8.;2.16.2.11
26619;Bug;Closed;Mdb_Modify. Не переведена вкладка настройки сервиса на русский язык.;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;2.;2.16.2.11
27669;Bug;Closed;CD Grabber имеет полные права к общим настройкам;Evgeniya Rachkovskaya	(Tract);25.07.2017 14:01;2.;2.16.2.11
27895;Bug;Closed;Перемещение ролика в заполненном блоке невозможно;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:01;2.;2.16.2.11
27086;Bug;Closed;Импорт рекламного расписания на определенный интервал времени;Tatiana Zharkova	(Digispot System GmbH);25.07.2017 14:01;4.;2.16.3.3
32011;Bug;Closed;Потеря явного имени кнопки NJM;Alexey Golovnya	(Tract);25.07.2017 14:02;4.;Sprint 1
32140;Bug;Closed;Не строится дистрибутив D3Web;Yura Cherevaty	(Tract);03.06.2016 14:22;8.;Sprint 2
32085;Bug;Closed;В режиме FullScreen скрывается окно с настройками;Developers;25.04.2016 19:09;4.;Sprint 2
31891;Bug;Closed;Лишние символы в PlaybackLog;Stanislaw  Serednitsky	(Tract Msk);25.07.2017 14:02;4.;Sprint 2
32168;Bug;Closed;Пропадают ролики из Медиаплана при повторном добавлении и удалении проката;Yura Cherevaty	(Tract);25.07.2017 14:02;4.;Sprint 2
32466;Bug;Closed;Не удаляются страницы NJM;Pavel Konstantinov	(Tract);25.07.2017 14:02;4.;Sprint 2
